"CensusID","Date","Counter","Site","Area","Type","Height_rel_MLLW_cm","ObservationType","TimeStart","TimeEnd","AreaCovered","CensusComments"
1028409284,2013-05-26,"Mark_Novak","Yachats_Barnacle_Rock","AA1","Natural",NA,"Systematic Census","1899-12-30 05:40:00","1899-12-30 10:25:00",100,"Dawn foggy"
-1433201473,2013-06-06,"Mark_Novak","Yachats_Barnacle_Rock","AA2","Natural",NA,"Systematic Census","1899-12-30 07:15:00","1899-12-30 09:22:00",100,"Pollicipes-dominated patch"
904719696,2013-06-06,"Mark_Novak","Yachats_Barnacle_Rock","AA3","Natural",NA,"Systematic Census","1899-12-30 06:22:00","1899-12-30 07:15:00",100,"Clear sky, low waves.  Low barnacle patch"
37404753,2013-06-09,"Mark_Novak","Yachats_Barnacle_Rock","AA4","Natural",NA,"Systematic Census","1899-12-30 07:08:00","1899-12-30 10:15:00",85,"clear sky"
-1726834572,2013-06-10,"Mark_Novak","Yachats_Barnacle_Rock","AA5","Natural",NA,"Systematic Census","1899-12-30 05:50:00","1899-12-30 10:23:00",100,""
-811640048,2013-06-23,"Mark_Novak","Yachats_Barnacle_Rock","AA6","Natural",NA,"Systematic Census","1899-12-30 05:55:00","1899-12-30 09:25:00",85,"barnacle-dominated patch; foggy overcast & drizzle; relatively calm"
-324519426,2013-06-23,"Mark_Novak","Yachats_Barnacle_Rock","AA7","Natural",NA,"Systematic Census","1899-12-30 05:25:00","1899-12-30 08:00:00",100,"barnacle patch; windy, intermittent rain, low swell but whitecaps.  1 Pisaster in patch"
2009555604,2013-06-24,"Mark_Novak","Yachats_Barnacle_Rock","AA8","Natural",NA,"Systematic Census","1899-12-30 05:30:00","1899-12-30 10:35:00",100,"overcast w/ intermittent rain"
-2034692684,2013-06-27,"Mark_Novak","Yachats_Barnacle_Rock","AA10","Natural",NA,"Systematic Census","1899-12-30 07:30:00","1899-12-30 08:30:00",100,"overcast, light rain, medium swell"
1411667050,2013-06-27,"Mark_Novak","Yachats_Barnacle_Rock","AA9","Natural",NA,"Systematic Census","1899-12-30 08:35:00","1899-12-30 11:38:00",100,"overcast, medium swell"
-1001895293,2013-08-20,"Mark_Novak","Yachats_Natural_Bridge","A","Experimental",523,"Systematic Census","1899-12-30 05:50:00","1899-12-30 06:00:00",100,""
1689597060,2013-08-20,"Mark_Novak","Yachats_Natural_Bridge","AB","Experimental",481,"Systematic Census","1899-12-30 08:05:00","1899-12-30 09:00:00",100,""
1981345386,2013-08-20,"Mark_Novak","Yachats_Natural_Bridge","AC","Experimental",550,"Systematic Census","1899-12-30 09:00:00","1899-12-30 09:04:00",100,""
-1491065627,2013-08-20,"Mark_Novak","Yachats_Natural_Bridge","B","Experimental",496,"Systematic Census","1899-12-30 06:00:00","1899-12-30 07:30:00",100,""
-124977564,2013-08-20,"Mark_Novak","Yachats_Natural_Bridge","C","Experimental",523,"Systematic Census","1899-12-30 07:30:00","1899-12-30 07:38:00",100,""
-1634482455,2013-08-20,"Mark_Novak","Yachats_Natural_Bridge","D","Experimental",569,"Systematic Census","1899-12-30 07:38:00","1899-12-30 07:41:00",100,""
1620371554,2013-08-20,"Mark_Novak","Yachats_Natural_Bridge","E","Experimental",553,"Systematic Census","1899-12-30 07:44:00","1899-12-30 07:58:00",100,""
1086592020,2013-08-20,"Mark_Novak","Yachats_Natural_Bridge","F","Experimental",603,"Systematic Census","1899-12-30 07:41:00","1899-12-30 07:44:00",100,""
-497290291,2013-08-20,"Mark_Novak","Yachats_Natural_Bridge","G","Experimental",492,"Systematic Census","1899-12-30 07:58:00","1899-12-30 08:05:00",100,""
176469218,2013-08-21,"Mark_Novak","Yachats_Natural_Bridge","AD","Experimental",562,"Systematic Census","1899-12-30 05:56:00","1899-12-30 06:22:00",100,""
-1890234880,2013-08-21,"Mark_Novak","Yachats_Natural_Bridge","AE","Experimental",512,"Systematic Census","1899-12-30 06:22:00","1899-12-30 06:35:00",100,""
-1907763072,2013-08-21,"Mark_Novak","Yachats_Natural_Bridge","AF","Experimental",529,"Systematic Census","1899-12-30 05:45:00","1899-12-30 05:55:00",100,""
-404436619,2013-08-21,"Mark_Novak","Yachats_Natural_Bridge","AG","Experimental",204,"Systematic Census","1899-12-30 06:35:00","1899-12-30 06:55:00",100,""
1454222490,2013-08-21,"Mark_Novak","Yachats_Natural_Bridge","BB","Experimental",587,"Systematic Census","1899-12-30 06:55:00","1899-12-30 07:01:00",100,""
470480648,2013-08-21,"Mark_Novak","Yachats_Natural_Bridge","BC","Experimental",574,"Systematic Census","1899-12-30 07:02:00","1899-12-30 07:08:00",100,""
646306859,2013-08-21,"Mark_Novak","Yachats_Natural_Bridge","BD","Experimental",491,"Systematic Census","1899-12-30 07:09:00","1899-12-30 07:11:00",100,""
-1580438959,2013-08-21,"Mark_Novak","Yachats_Natural_Bridge","BE","Experimental",561,"Systematic Census","1899-12-30 07:11:00","1899-12-30 07:20:00",100,""
-1005733847,2013-08-21,"Mark_Novak","Yachats_Natural_Bridge","BF","Experimental",577,"Systematic Census","1899-12-30 07:20:00","1899-12-30 07:41:00",100,""
-1642045165,2013-09-16,"Mark_Novak","Yachats_Natural_Bridge","A","Experimental",523,"Systematic Census","1899-12-30 04:45:00","1899-12-30 04:49:00",100,"barnacle sheet"
1696926984,2013-09-16,"Mark_Novak","Yachats_Natural_Bridge","AB","Experimental",481,"Systematic Census","1899-12-30 05:21:00","1899-12-30 05:41:00",100,"barnacle sheet w/ diatoms"
2030509749,2013-09-16,"Mark_Novak","Yachats_Natural_Bridge","AC","Experimental",550,"Systematic Census","1899-12-30 05:42:00","1899-12-30 05:44:00",100,""
-1897656086,2013-09-16,"Mark_Novak","Yachats_Natural_Bridge","AD","Experimental",562,"Systematic Census","1899-12-30 05:50:00","1899-12-30 06:07:00",100,"1 Pisaster"
1543133163,2013-09-16,"Mark_Novak","Yachats_Natural_Bridge","AE","Experimental",512,"Systematic Census","1899-12-30 05:45:00","1899-12-30 05:50:00",100,"barnacle sheet w/ algae"
-787691633,2013-09-16,"Mark_Novak","Yachats_Natural_Bridge","B","Experimental",496,"Systematic Census","1899-12-30 03:27:00","1899-12-30 04:55:00",100,"+40 Nc in crack; good 2-5mm mussel recruitment"
407353259,2013-09-16,"Mark_Novak","Yachats_Natural_Bridge","C","Experimental",523,"Systematic Census","1899-12-30 03:09:00","1899-12-30 03:15:00",100,"barnacle sheet w/ diatom-covered mussels threads, large abundant limpets; Nc in mussels on edge; abundant amphipods, small 2-5 mm mussels"
-1262519662,2013-09-16,"Mark_Novak","Yachats_Natural_Bridge","D","Experimental",569,"Systematic Census","1899-12-30 03:05:00","1899-12-30 03:06:00",100,"No whelks; barnacle sheet"
894511341,2013-09-16,"Mark_Novak","Yachats_Natural_Bridge","E","Experimental",553,"Systematic Census","1899-12-30 03:16:00","1899-12-30 03:26:00",100,"whelks around edges; barnacle sheet"
-1813059612,2013-09-16,"Mark_Novak","Yachats_Natural_Bridge","F","Experimental",603,"Systematic Census","1899-12-30 04:56:00","1899-12-30 05:01:00",100,"barnacle sheet w/ diatoms"
-2042737039,2013-09-16,"Mark_Novak","Yachats_Natural_Bridge","G","Experimental",492,"Systematic Census","1899-12-30 05:13:00","1899-12-30 05:18:00",100,""
1366660801,2013-09-17,"Mark_Novak","Yachats_Natural_Bridge","AF","Experimental",529,"Systematic Census","1899-12-30 03:22:00","1899-12-30 03:30:00",100,"barnacle sheet"
-602396130,2013-09-17,"Mark_Novak","Yachats_Natural_Bridge","AG","Experimental",204,"Systematic Census","1899-12-30 03:30:00","1899-12-30 03:46:00",100,""
-1135439230,2013-09-17,"Mark_Novak","Yachats_Natural_Bridge","BB","Experimental",587,"Systematic Census","1899-12-30 03:46:00","1899-12-30 03:51:00",100,"barnacle sheet; a few ~1cm mussels already"
696785047,2013-09-17,"Mark_Novak","Yachats_Natural_Bridge","BC","Experimental",574,"Systematic Census","1899-12-30 03:52:00","1899-12-30 03:56:00",100,""
-765234362,2013-09-17,"Mark_Novak","Yachats_Natural_Bridge","BD","Experimental",491,"Systematic Census","1899-12-30 03:56:00","1899-12-30 04:10:00",100,"sloughing barnacle sheet; lots of water and algae"
884204260,2013-09-17,"Mark_Novak","Yachats_Natural_Bridge","BE","Experimental",561,"Systematic Census","1899-12-30 04:02:00","1899-12-30 04:10:00",100,"barnacle sheet"
895136699,2013-09-17,"Mark_Novak","Yachats_Natural_Bridge","BF","Experimental",577,"Systematic Census","1899-12-30 04:10:00","1899-12-30 04:26:00",100,""
-1597648782,2013-10-07,"Mark_Novak","Yachats_Natural_Bridge","A","Experimental",523,"Systematic Census","1899-12-30 19:31:00","1899-12-30 19:39:00",100,""
2061998941,2013-10-07,"Mark_Novak","Yachats_Natural_Bridge","AB","Experimental",481,"Systematic Census","1899-12-30 21:16:00","1899-12-30 21:48:00",95,"very good mussel set and some Pollicipes.  Whelks eaten by oystercatchers: No: 14; Nc: 14, 11"
1586274792,2013-10-07,"Mark_Novak","Yachats_Natural_Bridge","AC","Experimental",550,"Systematic Census","1899-12-30 21:49:00","1899-12-30 21:51:00",100,"low mussel set"
-2006238499,2013-10-07,"Mark_Novak","Yachats_Natural_Bridge","AF","Experimental",529,"Systematic Census","1899-12-30 21:55:00","1899-12-30 22:06:00",100,"good mussel set"
-709721673,2013-10-07,"Mark_Novak","Yachats_Natural_Bridge","AG","Experimental",204,"Systematic Census","1899-12-30 22:08:00","1899-12-30 22:19:00",100,"very low mussel set"
-499408443,2013-10-07,"Mark_Novak","Yachats_Natural_Bridge","B","Experimental",496,"Systematic Census","1899-12-30 20:26:00","1899-12-30 21:00:00",33,"very high mussel set + Pollicipes"
-554449746,2013-10-07,"Mark_Novak","Yachats_Natural_Bridge","BB","Experimental",587,"Systematic Census","1899-12-30 22:20:00","1899-12-30 22:23:00",100,"very low mussel set"
-1835385993,2013-10-07,"Mark_Novak","Yachats_Natural_Bridge","BE","Experimental",561,"Systematic Census","1899-12-30 22:35:00","1899-12-30 22:40:00",100,"very low mussel set"
-1607355057,2013-10-07,"Mark_Novak","Yachats_Natural_Bridge","BF","Experimental",577,"Systematic Census","1899-12-30 22:24:00","1899-12-30 22:34:00",100,"very low mussel set"
-570929925,2013-10-07,"Mark_Novak","Yachats_Natural_Bridge","C","Experimental",523,"Systematic Census","1899-12-30 19:54:00","1899-12-30 20:04:00",100,"good mussel set"
-191842561,2013-10-07,"Mark_Novak","Yachats_Natural_Bridge","D","Experimental",569,"Systematic Census","1899-12-30 19:41:00","1899-12-30 19:46:00",100,"very low mussel set"
-1176127466,2013-10-07,"Mark_Novak","Yachats_Natural_Bridge","E","Experimental",553,"Systematic Census","1899-12-30 20:05:00","1899-12-30 20:18:00",100,"good mussel set"
